1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,description,file,file_load_time_min,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_name,param,predict_time_min,score_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0.617663499,0.568708183,0.675840979,1635,0.110441767,0.216535433,0.074123989,742,0.148951555,0.281420765,0.101278269,1017,0.17965368,0.320051414,0.124874624,1994,0.802286276,0.712632383,0.917744657,7112,0.64312,review_body-bow-df_default-ngram12-50000-10020-lda20-smote,review_body-bow-df_default-ngram12-50000-10020-lda20.csv,2.38,0.371799355,0.419869636,0.378772504,12500,RF,"{'n_jobs': -1, 'verbose': 1}",0.04,0,success,5/31/19 23:25,12500,10020,2.67,48863,10020,0.25,0.584592062,0.56665089,0.64312,12500
0.672576177,0.614683544,0.742507645,1635,0.145530146,0.318181818,0.094339623,742,0.204359673,0.332594235,0.147492625,1017,0.278613931,0.461181924,0.199598796,1994,0.831522077,0.744633522,0.941366704,7112,0.68216,review_body-bow-df_default-ngram12-50000-10020-lda20-smote,review_body-bow-df_default-ngram12-50000-10020-lda20.csv,2.38,0.426520401,0.494255009,0.425061079,12500,lGBM,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.14,0,success,5/31/19 23:26,12500,10020,3.91,48863,10020,1.39,0.630785631,0.623582177,0.68216,12500
0.658698539,0.582159624,0.758409786,1635,0.063106796,0.317073171,0.035040431,742,0.183150183,0.359195402,0.122910521,1017,0.251665433,0.480225989,0.170511535,1994,0.824767499,0.730069324,0.947694038,7112,0.67768,review_body-bow-df_default-ngram12-50000-10020-lda20-smote,review_body-bow-df_default-ngram12-50000-10020-lda20.csv,2.38,0.39627769,0.493744702,0.406913262,12500,CB,{'random_seed': 1},0.28,0,success,6/1/19 0:20,12500,10020,56.36,48863,10020,53.7,0.614210273,0.616177973,0.67768,12500
0.640243902,0.638297872,0.642201835,1635,0.204733076,0.173023256,0.250673854,742,0.292747253,0.264705882,0.327433628,1017,0.357158566,0.318057188,0.407221665,1994,0.778075071,0.85257162,0.715551181,7112,0.5976,review_body-bow-df_default-ngram12-50000-10020-lda20-smote,review_body-bow-df_default-ngram12-50000-10020-lda20.csv,2.38,0.454591574,0.449331164,0.468616433,12500,LRB100,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.02,0,success,6/1/19 0:32,12500,10020,13.75,48863,10020,11.35,0.619382301,0.651112124,0.5976,12500
0.61123723,0.570142933,0.658715596,1635,0.091269841,0.172932331,0.061994609,742,0.156293223,0.263403263,0.111111111,1017,0.168,0.305555556,0.115847543,1994,0.802728614,0.712991266,0.918307087,7112,0.63984,review_body-tfidf-df_default-ngram12-50000-10020-lda20-smote,review_body-tfidf-df_default-ngram12-50000-10020-lda20.csv,2.95,0.365905782,0.40500507,0.373195189,12500,RF,"{'n_jobs': -1, 'verbose': 1}",0.02,0,success,6/1/19 0:52,12500,10020,3.24,48863,10020,0.27,0.581603456,0.560676181,0.63984,12500
0.676855895,0.611138492,0.758409786,1635,0.132642487,0.286995516,0.086253369,742,0.226238286,0.354297694,0.166175025,1017,0.27148369,0.451575263,0.194082247,1994,0.834518907,0.750168275,0.940241845,7112,0.68376,review_body-tfidf-df_default-ngram12-50000-10020-lda20-smote,review_body-tfidf-df_default-ngram12-50000-10020-lda20.csv,2.95,0.428347853,0.490835048,0.429032454,12500,lGBM,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.12,0,success,6/1/19 0:53,12500,10020,4.59,48863,10020,1.52,0.632928112,0.624649656,0.68376,12500
0.666666667,0.5902876,0.765749235,1635,0.054388133,0.328358209,0.029649596,742,0.17849305,0.348571429,0.119960669,1017,0.239347907,0.458156028,0.161985958,1994,0.825462765,0.729826078,0.949943757,7112,0.678,review_body-tfidf-df_default-ngram12-50000-10020-lda20-smote,review_body-tfidf-df_default-ngram12-50000-10020-lda20.csv,2.95,0.392871704,0.491039869,0.405457843,12500,CB,{'random_seed': 1},0.28,0,success,6/1/19 2:12,12500,10020,81.31,48863,10020,78.08,0.612786747,0.613387628,0.678,12500
0.663393679,0.665640394,0.66116208,1635,0.219134153,0.181576616,0.276280323,742,0.304955527,0.267857143,0.353982301,1017,0.37739289,0.345864662,0.415245737,1994,0.792774941,0.865535031,0.731299213,7112,0.614,review_body-tfidf-df_default-ngram12-50000-10020-lda20-smote,review_body-tfidf-df_default-ngram12-50000-10020-lda20.csv,2.95,0.471530238,0.465294769,0.487593931,12500,LRB100,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.01,0,success,6/1/19 2:23,12500,10020,14.63,48863,10020,11.67,0.635849822,0.667264151,0.614,12500
0.609548267,0.556479113,0.673806452,3875,0.086705202,0.196261682,0.055643879,1887,0.149202733,0.275210084,0.10234375,2560,0.215647785,0.308216433,0.165839983,4637,0.781167147,0.694467468,0.892602703,15019,0.613088856,review_body-bow-df_default-ngram12-111909-10020-lda20-smote,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.43,0.368454227,0.406126956,0.378047353,27978,RF,"{'n_jobs': -1, 'verbose': 1}",0.07,0,success,6/1/19 4:07,27978,10020,6.32,112031,10020,0.82,0.559006341,0.539375462,0.613088856,27978
0.678299567,0.620926244,0.747354839,3875,0.136609746,0.319066148,0.08691044,1887,0.242980562,0.393356643,0.17578125,2560,0.295888088,0.429098361,0.225792538,4637,0.812618665,0.723875937,0.926160197,15019,0.660054328,review_body-bow-df_default-ngram12-111909-10020-lda20-smote,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.43,0.433279325,0.497264666,0.432399853,27978,lGBM,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.3,0,success,6/1/19 4:12,27978,10020,10.08,112031,10020,4.35,0.610657533,0.603216163,0.660054328,27978
0.662589195,0.590431974,0.75483871,3875,0.082752208,0.337121212,0.047164812,1887,0.216524217,0.4,0.1484375,2560,0.28641125,0.427958834,0.215225361,4637,0.807838363,0.715371188,0.927758173,15019,0.655014654,review_body-bow-df_default-ngram12-111909-10020-lda20-smote,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.43,0.411223046,0.494176642,0.418684911,27978,CB,{'random_seed': 1},0.62,0,success,6/1/19 4:33,27978,10020,27.01,112031,10020,20.96,0.598291582,0.596063929,0.655014654,27978
0.657065006,0.660751566,0.653419355,3875,0.262072092,0.229001585,0.306306306,1887,0.309135802,0.267140825,0.366796875,2560,0.369556914,0.331619537,0.417295665,4637,0.759810927,0.844850065,0.690325588,15019,0.584459218,review_body-bow-df_default-ngram12-111909-10020-lda20-smote,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.43,0.471528148,0.466672716,0.486828758,27978,LRB100,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.07,0,success,6/1/19 8:30,27978,10020,242.41,112031,10020,236.91,0.60609337,0.63989355,0.584459218,27978
0.613556131,0.563919533,0.672774194,3875,0.095437422,0.227091633,0.060413355,1887,0.142735769,0.259526262,0.0984375,2560,0.218420302,0.322254943,0.165193013,4637,0.780732244,0.690951038,0.897330049,15019,0.615340625,review_body-tfidf-df_default-ngram12-111909-10020-lda20-smote,review_body-tfidf-df_default-ngram12-111909-10020-lda20.csv,7.77,0.370176374,0.412748682,0.378829622,27978,RF,"{'n_jobs': -1, 'verbose': 1}",0.05,0,success,6/1/19 10:20,27978,10020,8.74,112031,10020,0.92,0.559784706,0.541489283,0.615340625,27978
0.674243303,0.612257793,0.750193548,3875,0.141687142,0.311711712,0.091679915,1887,0.236314363,0.385840708,0.1703125,2560,0.316293056,0.431877566,0.249514772,4637,0.814460676,0.731421605,0.918769559,15019,0.66023304,review_body-tfidf-df_default-ngram12-111909-10020-lda20-smote,review_body-tfidf-df_default-ngram12-111909-10020-lda20.csv,7.77,0.436599708,0.494621877,0.436094059,27978,lGBM,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.27,0,success,6/1/19 10:25,27978,10020,13.13,112031,10020,5.09,0.614198906,0.605343074,0.66023304,27978
0.662586422,0.590743735,0.754322581,3875,0.091497227,0.357400722,0.052464229,1887,0.220193953,0.408033827,0.15078125,2560,0.294168342,0.440430108,0.220832435,4637,0.808266427,0.715686275,0.928357414,15019,0.65676603,review_body-tfidf-df_default-ngram12-111909-10020-lda20-smote,review_body-tfidf-df_default-ngram12-111909-10020-lda20.csv,7.77,0.415342474,0.502458933,0.421351582,27978,CB,{'random_seed': 1},0.62,0,success,6/1/19 10:52,27978,10020,34.95,112031,10020,26.56,0.600732227,0.600446075,0.65676603,27978
0.676306443,0.665003742,0.688,3875,0.271925959,0.232742361,0.326974033,1887,0.319361955,0.282328233,0.367578125,2560,0.380081503,0.352507375,0.412335562,4637,0.778245105,0.854390574,0.714561555,15019,0.60290228,review_body-tfidf-df_default-ngram12-111909-10020-lda20-smote,review_body-tfidf-df_default-ngram12-111909-10020-lda20.csv,7.77,0.485184193,0.477394457,0.501889855,27978,LRB100,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.04,0,success,6/1/19 14:37,27978,10020,232.64,112031,10020,224.83,0.621998696,0.650707818,0.60290228,27978