1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,confusion_matrix,description,feature_generation,file,file_load_time_min,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_file,model_name,model_save_time_min,param,predict_time_min,smote_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,config_file
0.656333141,0.599661805,0.724833929,3914,0.090949621,0.281767956,0.054226475,1881,0.187285223,0.344573235,0.128588282,2543,0.244172146,0.408704352,0.174089069,4693,0.805756221,0.7049205,0.94025557,14947,0.648259347,"[[ 2837   108   144   114   711]
 [  810   102   182   180   607]
 [  530    93   327   427  1166]
 [  243    36   198   817  3399]
 [  311    23    98   461 14054]]",review_body-fasttext-111909-1600-nolda-nosmote-lGBM-star_rating,fastteext,review_body-fasttext-111909-1600-nolda.csv,0.87,0.39689927,0.46792557,0.404398665,27978,models/2019-06-12-review_body-fasttext-111909-1600-nolda-nosmote-lGBM-star_rating.jbl,lGBM,0,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.03,0,success,6/12/19 8:42,27978,1600,1.74,83931,1600,4.91,0.586381034,0.579306162,0.648259347,27978,config/2019-06-11-run_classifiers-marmoset.csv
0.662270899,0.588597537,0.75702606,3914,0.048804295,0.297619048,0.026581606,1881,0.224659,0.351170569,0.165159261,2543,0.244235437,0.42390732,0.171532069,4693,0.812810442,0.715055129,0.941526728,14947,0.654478519,"[[ 2963    50   182    88   631]
 [  895    50   235   155   546]
 [  578    43   420   417  1085]
 [  272    16   254   805  3346]
 [  326     9   105   434 14073]]",review_body-fasttext-111909-1600-nolda-nosmote-CB-star_rating,fastteext,review_body-fasttext-111909-1600-nolda.csv,0.77,0.398556014,0.47526992,0.412365145,27978,models/2019-06-12-review_body-fasttext-111909-1600-nolda-nosmote-CB-star_rating.jbl,CB,0,{'random_seed': 1},0.11,0,success,6/12/19 8:57,27978,1600,1.54,83931,1600,17.52,0.591554493,0.587388127,0.654478519,27978,config/2019-06-11-run_classifiers-marmoset.csv
0.650765306,0.649770759,0.651762902,3914,0.289731051,0.234886026,0.377990431,1881,0.286726804,0.242837653,0.349980338,2543,0.364630468,0.326965342,0.412103132,4693,0.741361018,0.854783748,0.654512611,14947,0.567195654,"[[2551  863  319   84   97]
 [ 554  711  421  125   70]
 [ 292  653  890  518  190]
 [ 133  332  989 1934 1305]
 [ 396  468 1046 3254 9783]]",review_body-fasttext-111909-1600-nolda-nosmote-LRB100-star_rating,fastteext,review_body-fasttext-111909-1600-nolda.csv,0.78,0.46664293,0.461848706,0.489269883,27978,models/2019-06-12-review_body-fasttext-111909-1600-nolda-nosmote-LRB100-star_rating.jbl,LRB100,0,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.02,0,success,6/12/19 9:00,27978,1600,1.56,83931,1600,2.59,0.593807981,0.640269517,0.567195654,27978,config/2019-06-11-run_classifiers-marmoset.csv
0.670280244,0.610889216,0.742462954,3914,0.096703297,0.279187817,0.058479532,1881,0.203786192,0.348903718,0.143924499,2543,0.25981961,0.409445209,0.190283401,4693,0.812007874,0.715670766,0.938315381,14947,0.654085353,"[[ 2906   117   155   126   610]
 [  813   110   205   192   561]
 [  539   101   366   475  1062]
 [  212    38   211   893  3339]
 [  287    28   112   495 14025]]",review_body-word2vec-111909-1600-nolda-nosmote-lGBM-star_rating,word2vec,review_body-word2vec-111909-1600-nolda.csv,0.78,0.408519443,0.472819345,0.414693153,27978,models/2019-06-12-review_body-word2vec-111909-1600-nolda-nosmote-lGBM-star_rating.jbl,lGBM,0,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.03,0,success,6/12/19 9:05,27978,1600,1.56,83931,1600,4.86,0.596183401,0.586964477,0.654085353,27978,config/2019-06-11-run_classifiers-marmoset.csv
0.677551927,0.599331892,0.77925396,3914,0.057004831,0.312169312,0.031366295,1881,0.235776525,0.33848418,0.180888714,2543,0.263345196,0.432959532,0.189217984,4693,0.818646494,0.72649041,0.937579447,14947,0.660197298,"[[ 3050    56   188    89   531]
 [  904    59   268   151   499]
 [  603    52   460   436   992]
 [  233    12   306   888  3254]
 [  299    10   137   487 14014]]",review_body-word2vec-111909-1600-nolda-nosmote-CB-star_rating,word2vec,review_body-word2vec-111909-1600-nolda.csv,0.77,0.410464994,0.481887065,0.42366128,27978,models/2019-06-12-review_body-word2vec-111909-1600-nolda-nosmote-CB-star_rating.jbl,CB,0,{'random_seed': 1},0.11,0,success,6/12/19 9:19,27978,1600,1.54,83931,1600,15.45,0.601577388,0.596342555,0.660197298,27978,config/2019-06-11-run_classifiers-marmoset.csv
0.652493235,0.658175201,0.646908533,3914,0.291900895,0.239904175,0.37267411,1881,0.30329599,0.25829646,0.367282737,2543,0.366744512,0.326513639,0.418282548,4693,0.747512063,0.856143684,0.663343815,14947,0.573486311,"[[2532  866  326  103   87]
 [ 553  701  428  129   70]
 [ 280  620  934  499  210]
 [ 139  312  980 1963 1299]
 [ 343  423  948 3318 9915]]",review_body-word2vec-111909-1600-nolda-nosmote-LRB100-star_rating,word2vec,review_body-word2vec-111909-1600-nolda.csv,0.78,0.472389339,0.467806632,0.493698349,27978,models/2019-06-12-review_body-word2vec-111909-1600-nolda-nosmote-LRB100-star_rating.jbl,LRB100,0,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.02,0,success,6/12/19 9:22,27978,1600,1.56,83931,1600,2.69,0.599342362,0.6438385,0.573486311,27978,config/2019-06-11-run_classifiers-marmoset.csv
0.658698539,0.582159624,0.758409786,1635,0.063106796,0.317073171,0.035040431,742,0.183150183,0.359195402,0.122910521,1017,0.251665433,0.480225989,0.170511535,1994,0.824767499,0.730069324,0.947694038,7112,0.67768,,review_body-bow-df_default-ngram12-50000-10020-lda20-smote,BoW,review_body-bow-df_default-ngram12-50000-10020-lda20.csv,2.38,0.39627769,0.493744702,0.406913262,12500,,CB,0,{'random_seed': 1},0.28,9,success,6/1/19 0:20,12500,10020,56.36,48863,10020,53.7,0.614210273,0.616177973,0.67768,12500,
0.672576177,0.614683544,0.742507645,1635,0.145530146,0.318181818,0.094339623,742,0.204359673,0.332594235,0.147492625,1017,0.278613931,0.461181924,0.199598796,1994,0.831522077,0.744633522,0.941366704,7112,0.68216,,review_body-bow-df_default-ngram12-50000-10020-lda20-smote,BoW,review_body-bow-df_default-ngram12-50000-10020-lda20.csv,2.38,0.426520401,0.494255009,0.425061079,12500,,lGBM,0,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.14,9,success,5/31/19 23:26,12500,10020,3.91,48863,10020,1.39,0.630785631,0.623582177,0.68216,12500,
0.640243902,0.638297872,0.642201835,1635,0.204733076,0.173023256,0.250673854,742,0.292747253,0.264705882,0.327433628,1017,0.357158566,0.318057188,0.407221665,1994,0.778075071,0.85257162,0.715551181,7112,0.5976,,review_body-bow-df_default-ngram12-50000-10020-lda20-smote,BoW,review_body-bow-df_default-ngram12-50000-10020-lda20.csv,2.38,0.454591574,0.449331164,0.468616433,12500,,LRB100,0,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.02,9,success,6/1/19 0:32,12500,10020,13.75,48863,10020,11.35,0.619382301,0.651112124,0.5976,12500,
0.666666667,0.5902876,0.765749235,1635,0.054388133,0.328358209,0.029649596,742,0.17849305,0.348571429,0.119960669,1017,0.239347907,0.458156028,0.161985958,1994,0.825462765,0.729826078,0.949943757,7112,0.678,,review_body-tfidf-df_default-ngram12-50000-10020-lda20-smote,TFIDF,review_body-tfidf-df_default-ngram12-50000-10020-lda20.csv,2.95,0.392871704,0.491039869,0.405457843,12500,,CB,0,{'random_seed': 1},0.28,7.43,success,6/1/19 2:12,12500,10020,81.31,48863,10020,78.08,0.612786747,0.613387628,0.678,12500,
0.676855895,0.611138492,0.758409786,1635,0.132642487,0.286995516,0.086253369,742,0.226238286,0.354297694,0.166175025,1017,0.27148369,0.451575263,0.194082247,1994,0.834518907,0.750168275,0.940241845,7112,0.68376,,review_body-tfidf-df_default-ngram12-50000-10020-lda20-smote,TFIDF,review_body-tfidf-df_default-ngram12-50000-10020-lda20.csv,2.95,0.428347853,0.490835048,0.429032454,12500,,lGBM,0,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.12,7.43,success,6/1/19 0:53,12500,10020,4.59,48863,10020,1.52,0.632928112,0.624649656,0.68376,12500,
0.663393679,0.665640394,0.66116208,1635,0.219134153,0.181576616,0.276280323,742,0.304955527,0.267857143,0.353982301,1017,0.37739289,0.345864662,0.415245737,1994,0.792774941,0.865535031,0.731299213,7112,0.614,,review_body-tfidf-df_default-ngram12-50000-10020-lda20-smote,TFIDF,review_body-tfidf-df_default-ngram12-50000-10020-lda20.csv,2.95,0.471530238,0.465294769,0.487593931,12500,,LRB100,0,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.01,7.43,success,6/1/19 2:23,12500,10020,14.63,48863,10020,11.67,0.635849822,0.667264151,0.614,12500,