1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,auc_1,auc_2,auc_3,auc_4,auc_5,auc_macro,auc_micro,confusion_matrix,description,embedding,file,fpr,loss,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,max_sequence_length,model_file,model_name,network_history_file,status,status_date,test_examples,test_features,tokenizer_file,tpr,train_examples,train_features,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0.713225058,0.660791058,0.774697581,3968,0.169295883,0.302197802,0.11758418,1871,0.308935984,0.345552297,0.279336231,2531,0.303828736,0.436686391,0.232954545,4752.0,0.831112056,0.75833795,0.919336423,14889.0,0.671022098,0.948909021,0.853113175,0.813873099,0.740059128,0.877310492,0.846676399,0.90619525,"[[ 3074   203   268    52   371],,,,,,,,,,,,,,,,,,,,,,,,,
 [  845   220   390   120   296],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  455   193   707   473   703],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  126    68   459  1107  2992],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  152    44   222   783 13688]]",amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_2layer-186-star_rating,300,drive/My Drive/Springboard/capstone/data/amazon_reviews_us_Wireless_v1_00-preprocessed-110k.csv,"{0: array([0.        ,0.0, 0.        , ..., 0.93070748, 0.93070748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 1: array([0.00000000e+00, 3.82555471e-05, 7.65110941e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.86189748e-01, 9.86189748e-01, 1.00000000e+00]), 2: array([0.00000000e+00, 3.92464678e-05,7.849293559999999e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.97684458e-01, 9.97684458e-01, 1.00000000e+00]), 3: array([0.        , 0.        ,0.0, ..., 0.97983576, 0.97983576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 4: array([0.        , 0.        , 0.        , ...,0.99336991, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''micro'': array([0.        ', 0.        , 0.        , ...,0.99941095, 0.99941095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''macro'': array([0.00000000e+00', 3.82555471e-05, 3.92464678e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.93369913e-01, 9.97684458e-01, 1.00000000e+00])}",0.922681619,0.465279543,0.5007130999999999,0.464781792,28011,186,drive/My Drive/Springboard/capstone/models/2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_2layer-186-star_rating.h5,CNN_2layer,drive/My Drive/Springboard/capstone/models/2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_2layer-186-star_rating-history.pkl,success,7/24/19 15:35,28011.0,186.0,drive/My Drive/Springboard/capstone/models/2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_2layer-186-star_rating-tokenizer.pkl,"{0: array([0.00000000e+00,0.000252016129,0.00252016129, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99747984e-01, 1.00000000e+00, 1.00000000e+00]), 1: array([0.        , 0.        ,0.0, ..., 0.99946553, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 2: array([0.       , 0.       , 0.       , ...,0.9996049, 1.       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.       ]), 3: array([0.00000000e+00, 2.10437710e-04, 6.31313131e-04, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99789562e-01, 1.00000000e+00, 1.00000000e+00]), 4: array([0.00000000e+00, 6.71636779e-05,0.000201491034, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99932836e-01, 9.99932836e-01, 1.00000000e+00]),' ''micro'': array([0.00000000e+00', 3.57002606e-05,0.00024990182400000003, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99964300e-01, 1.00000000e+00, 1.00000000e+00]),' ''macro'': array([6.70593091e-04', 6.70593091e-04,0.000670593091, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99907547e-01, 9.99986567e-01, 1.00000000e+00])}",84032,186,0.633571388,0.622185975,0.671022098,28011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.697318008,0.684210526,0.7109375,3968,0.250698107,0.298816568,0.215927312,1871,0.324249605,0.324121595,0.324377716,2531,0.359692092,0.403453689,0.324494949,4752.0,0.823559704,0.790680428,0.859292095,14889.0,0.671022098,0.942648003,0.849668203,0.8081966429999999,0.7378833509999999,0.875173062,0.842737996,0.8980586890000001,"[[ 2821   477   357    83   230],,,,,,,,,,,,,,,,,,,,,,,,,
 [  672   404   448   167   180],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  346   295   821   573   496],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  104   102   523  1542  2481],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  180    74   384  1457 12794]]",amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_3layer-186-star_rating,300,drive/My Drive/Springboard/capstone/data/amazon_reviews_us_Wireless_v1_00-preprocessed-110k.csv,"{0: array([0.        ,0.0, 0.        , ..., 0.97849686, 0.97849686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 1: array([0.00000000e+00, 0.00000000e+00, 7.65110941e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99120122e-01, 9.99120122e-01, 1.00000000e+00]), 2: array([0.00000000e+00, 0.00000000e+00,3.92464678e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.96938776e-01, 9.96938776e-01, 1.00000000e+00]), 3: array([0.        , 0.        ,0.0, ..., 0.96156327, 0.96156327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 4: array([0.      , 0.      , 0.      , ...,0.992303, 0.992303, 1.      ]),' ''micro'': array([0.        ', 0.        , 0.        , ..., 0.99847381, 0.99847381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''macro'': array([0.00000000e+00', 3.92464678e-05, 4.15921474e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.96938776e-01, 9.99120122e-01, 1.00000000e+00])}",0.922681619,0.491103503,0.500256561,0.487005914,28011,186,drive/My Drive/Springboard/capstone/models/2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_3layer-186-star_rating.h5,CNN_3layer,drive/My Drive/Springboard/capstone/models/2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_3layer-186-star_rating-history.pkl,success,7/24/19 16:07,28011.0,186.0,drive/My Drive/Springboard/capstone/models/2019-07-24-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_3layer-186-star_rating-tokenizer.pkl,"{0: array([0.00000000e+00,0.000252016129,0.00378024194, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99747984e-01, 1.00000000e+00, 1.00000000e+00]), 1: array([0.00000000e+00, 5.34473544e-04,0.0005344735439999999, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99465526e-01, 1.00000000e+00, 1.00000000e+00]), 2: array([0.00000000e+00, 3.95100751e-04,0.000395100751, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99604899e-01, 1.00000000e+00, 1.00000000e+00]), 3: array([0.00000000e+00, 2.10437710e-04,0.000420875421, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99579125e-01, 1.00000000e+00, 1.00000000e+00]), 4: array([0.00000000e+00, 6.71636779e-05,0.000201491034, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99932836e-01, 1.00000000e+00, 1.00000000e+00]),' ''micro'': array([0.00000000e+00', 3.57002606e-05,0.000107100782, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99964300e-01, 1.00000000e+00, 1.00000000e+00]),' ''macro'': array([0.0011739 ', 0.00141096,0.00221741, ..., 0.99989311, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ])}",84032,186,0.643601693,0.634894782,0.656242191,28011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.710613504,0.649947753,0.783770161,3968,0.15056267,0.274787535,0.103687867,1871,0.28815516,0.346666667,0.246542868,2531,0.346005235,0.424335066,0.292087542,4752.0,0.829921455,0.769041206,0.901269394,14889.0,0.668844383,0.948884294,0.8557387209999999,0.818787343,0.740203685,0.87894211,0.8485317920000001,0.90625259,"[[ 3110   206   255    95   302],,,,,,,,,,,,,,,,,,,,,,,,,
 [  836   194   376   191   274],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  456   197   624   574   680],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  158    67   365  1388  2774],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  225    42   180  1023 13419]]",amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_1layer-186-star_rating,300,drive/My Drive/Springboard/capstone/data/amazon_reviews_us_Wireless_v1_00-preprocessed-110k.csv,"{0: array([0.        ,0.0, 0.        , ..., 0.98124194, 0.98132513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 1: array([0.00000000e+00, 0.00000000e+00, 3.82555471e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.90818669e-01, 9.90895180e-01, 1.00000000e+00]), 2: array([0.00000000e+00, 0.00000000e+00,3.92464678e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.72723705e-01, 9.72723705e-01, 1.00000000e+00]), 3: array([0.        , 0.        ,0.0, ..., 0.98056666, 0.98056666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 4: array([0.        , 0.        , 0.        , ...,0.99878067, 0.99878067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''micro'': array([0.        ', 0.        , 0.        , ...,0.9930563, 0.99307415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''macro'': array([0.00000000e+00', 3.82555471e-05, 3.92464678e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.97104100e-01, 9.98780674e-01, 1.00000000e+00])}",0.919214851,0.465051605,0.492955645,0.465471567,28011,186,drive/My Drive/Springboard/capstone/models/2019-07-25-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_1layer-186-star_rating.h5,GRU_1layer,drive/My Drive/Springboard/capstone/models/2019-07-25-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_1layer-186-star_rating-history.pkl,success,7/25/19 4:08,28011.0,186.0,drive/My Drive/Springboard/capstone/models/2019-07-25-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_1layer-186-star_rating-tokenizer.pkl,"{0: array([0.00000000e+00,0.000252016129,0.0108366935, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), 1: array([0.00000000e+00, 5.34473544e-04,0.0005344735439999999, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), 2: array([0.00000000e+00, 3.95100751e-04,0.000395100751, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99604899e-01, 1.00000000e+00, 1.00000000e+00]), 3: array([0.00000000e+00, 2.10437710e-04,0.00378787879, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99789562e-01, 1.00000000e+00, 1.00000000e+00]), 4: array([0.00000000e+00, 6.71636779e-05,0.0008059641349999999, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99932836e-01, 1.00000000e+00, 1.00000000e+00]),' ''micro'': array([0.00000000e+00', 3.57002606e-05,0.00157081147, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]),' ''macro'': array([0.00333919', 0.00355298,0.003632, ..., 0.99998657, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ])}",84032,186,0.63659474,0.622513593,0.6688443829999999,28011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.712649108,0.670593465,0.760332661,3968,0.206433369,0.30480167,0.156066275,1871,0.348638765,0.358845671,0.338996444,2531,0.301806889,0.458404803,0.224957912,4752.0,0.839547677,0.770287701,0.922493116,14889.0,0.677269644,0.953786779,0.862783814,0.833406614,0.7545365709999999,0.8929913420000001,0.8595220029999999,0.912754326,"[[ 3017   310   278    45   318],,,,,,,,,,,,,,,,,,,,,,,,,
 [  762   292   450   117   250],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  416   231   858   420   606],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  130    80   551  1069  2922],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  174    45   254   681 13735]]",amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_bi1layer_attention-186-review_body,300,drive/My Drive/Springboard/capstone/data/amazon_reviews_us_Wireless_v1_00-preprocessed-110k.csv,"{0: array([0.        ,0.0, 0.        , ..., 0.87730317, 0.87738635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 1: array([0.00000000e+00, 3.82555471e-05, 7.65110941e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.40397858e-01, 9.40474369e-01, 1.00000000e+00]), 2: array([0.00000000e+00, 0.00000000e+00,7.849293559999999e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.71546311e-01, 9.71546311e-01, 1.00000000e+00]), 3: array([0.       , 0.       ,0.0, ..., 0.9941958, 0.9941958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.       ]), 4: array([0.00000000e+00, 7.62078951e-05, 7.62078951e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.72565158e-01, 9.72565158e-01, 1.00000000e+00]),' ''micro'': array([0.00000000e+00', 8.92506515e-06,8.92506515e-06, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.63523259e-01, 9.63541109e-01, 1.00000000e+00]),' ''macro'': array([0.00000000e+00', 3.82555471e-05,4.1592147399999986e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.77041145e-01, 9.94195795e-01, 1.00000000e+00])}",0.835059472,0.481815162,0.512586662,0.480569282,28011,186,drive/My Drive/Springboard/capstone/models/2019-07-26-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_bi1layer_attention-186-review_body.h5,GRU_bi1layer_attention,drive/My Drive/Springboard/capstone/models/2019-07-26-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_bi1layer_attention-186-review_body-history.pkl,success,7/26/19 4:38,28011.0,186.0,drive/My Drive/Springboard/capstone/models/dl-tokenizer.pkl,"{0: array([0.00000000e+00,0.000252016129,0.00756048387, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), 1: array([0., 0.,0.0, ..., 1., 1., 1.]), 2: array([0.00000000e+00, 3.95100751e-04, 3.95100751e-04, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99604899e-01, 1.00000000e+00, 1.00000000e+00]), 3: array([0.00000000e+00, 2.10437710e-04,0.000420875421, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99789562e-01, 1.00000000e+00, 1.00000000e+00]), 4: array([0.        , 0.        ,0.00624622, ..., 0.99993284, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''micro'': array([0.        ', 0.        , 0.00364143, ...,1.0, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''macro'': array([0.00167529', 0.00167529, 0.00192731, ...,0.99995791, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ])}",84032,186,0.643698722,0.634985912,0.6772696440000001,28011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.722461825,0.672088484,0.780997984,3968,0.137840211,0.385749386,0.083912346,1871,0.26519337,0.338235294,0.218095614,2531,0.325658313,0.411707945,0.269360269,4752.0,0.839564286,0.762217839,0.934381087,14889.0,0.678304952,0.955639297,0.867413083,0.828632128,0.7503156879999999,0.89350773,0.8591219059999999,0.912822095,"[[ 3099   132   359    98   280],,,,,,,,,,,,,,,,,,,,,,,,,
 [  777   157   415   255   267],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  419    80   552   798   682],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  122    23   216  1280  3111],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  194    15    90   678 13912]]",amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_2layer_attention-186-review_body,300,drive/My Drive/Springboard/capstone/data/amazon_reviews_us_Wireless_v1_00-preprocessed-110k.csv,"{0: array([0.        ,0.0, 0.        , ..., 0.8744749 , 0.87455808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 1: array([0.00000000e+00, 3.82555471e-05, 3.82555471e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.15570008e-01, 9.15646519e-01, 1.00000000e+00]), 2: array([0.00000000e+00, 3.92464678e-05,0.000117739403, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.87833595e-01, 9.87833595e-01, 1.00000000e+00]), 3: array([0.        , 0.        ,0.0, ..., 0.96960316, 0.96960316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 4: array([0.       , 0.       , 0.       , ...,0.9913123, 0.9913123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.       ]),' ''micro'': array([0.        ', 0.        , 0.        , ...,0.95487487, 0.95487487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''macro'': array([0.00000000e+00', 3.82555471e-05, 3.92464678e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.87833595e-01, 9.91312300e-01, 1.00000000e+00])}",0.831876171,0.458143601,0.51399979,0.45734946,28011,186,drive/My Drive/Springboard/capstone/models/2019-07-26-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_2layer_attention-186-review_body.h5,GRU_bi2layer_attention,drive/My Drive/Springboard/capstone/models/2019-07-26-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-GRU_2layer_attention-186-review_body-history.pkl,success,7/26/19 3:29,28011.0,186.0,drive/My Drive/Springboard/capstone/models/dl-tokenizer.pkl,"{0: array([0.00000000e+00,0.000252016129,0.006552419350000001, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), 1: array([0.00000000e+00, 0.00000000e+00,0.0005344735439999999, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), 2: array([0.       , 0.       ,0.0, ..., 0.9996049, 1.       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.       ]), 3: array([0.00000000e+00, 2.10437710e-04, 1.05218855e-03, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99789562e-01, 1.00000000e+00, 1.00000000e+00]), 4: array([0.00000000e+00, 6.71636779e-05,0.0030223655, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99932836e-01, 1.00000000e+00, 1.00000000e+00]),' ''micro'': array([0.00000000e+00', 3.57002606e-05,0.00189211381, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99964300e-01, 1.00000000e+00, 1.00000000e+00]),' ''macro'': array([0.00212539', 0.00223229,0.00223229, ..., 0.99998657, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ])}",84032,186,0.637022346,0.626530838,0.6783049520000001,28011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
